# E, Spec, Angle, Q2, CS/DipCS, dSCS/DipCS, MinCut, MaxCut, TPE, Sys_Scal, Norm
102.200000 W 84.300000 1.710000e-02 9.955582e-01 1.177120e-02 1 1 1.009200 1 34
108.700000 W 84.100000 1.920000e-02 9.885000e-01 1.296967e-02 1 1 1.009200 1 34
90.400000 W 115.900000 2.060000e-02 9.878186e-01 2.134998e-02 1 1 1.010500 1 34
118.600000 W 93.700000 2.640000e-02 9.807964e-01 1.298279e-02 1 1 1.009700 1 34
129.500000 W 93.200000 3.090000e-02 9.880094e-01 1.313115e-02 1 1 1.009600 1 34
149.800000 W 28.000000 5.200000e-03 9.879299e-01 1.946789e-02 1 1 1.004500 1 34
149.800000 W 40.000000 1.010000e-02 9.895689e-01 9.321193e-03 1 1 1.005800 1 34
149.800000 W 45.000000 1.260000e-02 9.683183e-01 9.424414e-03 1 1 1.006300 1 34
149.800000 W 50.000000 1.520000e-02 9.727950e-01 1.107504e-02 1 1 1.006800 1 34
149.800000 W 55.000000 1.790000e-02 9.740715e-01 8.373940e-03 1 1 1.007200 1 34
149.800000 W 60.000000 2.080000e-02 9.801221e-01 8.167684e-03 1 1 1.007600 1 34
149.800000 W 65.000000 2.370000e-02 9.678364e-01 8.122394e-03 1 1 1.008000 1 34
149.800000 W 70.000000 2.670000e-02 9.628011e-01 9.652202e-03 1 1 1.008400 1 34
149.800000 W 75.000000 2.970000e-02 9.524062e-01 1.093495e-02 1 1 1.008700 1 34
180.100000 W 28.000000 7.400000e-03 9.945734e-01 1.903679e-02 1 1 1.004500 1 34
180.100000 W 40.000000 1.450000e-02 9.829067e-01 8.473370e-03 1 1 1.005800 1 34
180.100000 W 45.000000 1.800000e-02 9.695338e-01 8.734034e-03 1 1 1.006300 1 34
180.100000 W 50.000000 2.170000e-02 9.780484e-01 8.242290e-03 1 1 1.006800 1 34
180.100000 W 55.000000 2.560000e-02 9.653347e-01 7.086633e-03 1 1 1.007200 1 34
180.100000 W 60.000000 2.960000e-02 9.710925e-01 6.726711e-03 1 1 1.007600 1 34
180.100000 W 65.000000 3.370000e-02 9.637832e-01 6.967821e-03 1 1 1.008000 1 34
180.100000 W 70.000000 3.790000e-02 9.659160e-01 8.462826e-03 1 1 1.008400 1 34
180.100000 W 75.000000 4.210000e-02 9.634162e-01 9.863508e-03 1 1 1.008700 1 34
199.600000 W 28.000000 9.100000e-03 9.794516e-01 2.065333e-02 1 1 1.004500 1 34
199.600000 W 40.000000 1.780000e-02 9.669093e-01 1.320927e-02 1 1 1.005800 1 34
199.600000 W 45.000000 2.200000e-02 9.696144e-01 1.091965e-02 1 1 1.006300 1 34
199.600000 W 50.000000 2.650000e-02 9.570285e-01 1.377154e-02 1 1 1.006800 1 34
199.600000 W 60.000000 3.600000e-02 9.598442e-01 1.077612e-02 1 1 1.007600 1 34
